num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
1,서울,강남구,서울 강남구 학동로 426 강남구청 별관 1동,127.0474019,37.51729695,정좌표,02,40,0101000020E61000002B91FAA108C35F40084955C936C24240,84,0.1,0.029,0.5,0.004
9,서울,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),127.0678627,37.65748117,정좌표,02,37,0101000020E61000009247CBDC57C45F406271CD5728D44240,73,0.087,0.021,0.5,0.004
319,대구,화원읍,대구광역시 달성군 화원읍 인흥1길 12 화원명곡체육공원,128.5039384,35.79821567,정좌표,053,36,0101000020E61000005B666C432010604001E75AEE2BE64140,70,0.114,0.011,0.2,0.002
310,대구,시지동,대구광역시 수성구 노변공원로 52 노변초등학교 (시지동),128.697594,35.83753326,정좌표,053,34,0101000020E610000059FCA6B0521660409281344A34EB4140,63,0.1,0.009,0.3,0.003
235,충북,살미면,충청북도 충주시 살미면 세성양지말길 41 살미면 행정복지센터 주차장 옆,127.9641086,36.90536434,정좌표,043,22,0101000020E6100000B6B28EF4B3FD5F40DFA18BFAE2734240,52,0.078,0.009,0.4,0.002
46,경기,단대동,경기 성남시 수정구 희망로 506번길 21 단대동행정복지센터,127.1556645,37.44964628,정좌표,031,25,0101000020E61000007C293C68F6C95F401DAF61028EB94240,67,0.101,0.022,0.4,0.004
16,서울,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,127.0496882,37.54203211,정좌표,02,43,0101000020E6100000D17F6A172EC35F407BEAE44E61C54240,85,0.112,0.035,0.5,0.005
162,강원,반곡동(명륜동),"강원도 원주시 배울로 215 (반곡동 1816-2, 배울체육공원 지상) (반곡동)",127.9766435,37.33592899,정좌표,033,38,0101000020E61000007616BD5381FE5F4006EA9CB8FFAA4240,77,0.118,0.015,0.5,0.003
372,경남,물금읍,경상남도 양산시 물금읍 황산로 384 물금읍행정복지센터 옥상,128.9872836,35.31035437,정좌표,055,-1,0101000020E610000012BCC6D3971F60400CA926B1B9A74140,-1,-1,-1,-1,-1
310,대구,시지동,대구광역시 수성구 노변공원로 52 노변초등학교 (시지동),128.697594,35.83753326,정좌표,053,34,0101000020E610000059FCA6B0521660409281344A34EB4140,63,0.1,0.009,0.3,0.003
244,충북,용암동,"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상 용암1동 주민센터 옥상",127.5012798,36.60884618,정좌표,043,30,0101000020E61000004FC9DEF714E05F4080B2EFABEE4D4240,83,0.086,0.015,0.5,0.002
243,충북,용담동,충북 청주시 상당구 교동로139번길 20 라일락소공원 지상 (용담동),127.5040394,36.63602007,정좌표,043,35,0101000020E61000004FB9782E42E05F40F41F0C1B69514240,78,0.108,0.01,0.3,0.003
266,부산,덕천동,부산 북구 덕천2길 10 덕천초등학교 운동장 남쪽 화단,129.0069448,35.20884422,정좌표,051,33,0101000020E6100000131C4DE438206040E86D4B68BB9A4140,83,0.1,0.014,0.4,0.003
10,서울,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,127.0290795,37.65421743,정좌표,02,28,0101000020E6100000FA5E4370DCC15F405E299165BDD34240,79,0.089,0.019,0.4,0.004
242,충북,옥천읍,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상) 옥천군청 통합관제 센터 옥상,127.5712521,36.30684827,정좌표,043,29,0101000020E61000005DD1F7648FE45F40FA3DDACD46274240,58,0.099,0.015,0.5,0.003
437,광주,농성동,광주 서구 상무대로 1165 (광주시립미술관 상록전시관 단독건물) 광주시립미술관,126.8892602,35.15456146,정좌표,062,27,0101000020E61000009A289DA3E9B85F4004F67FABC8934140,60,0.106,0.016,0.6,0.006
237,충북,송정동(봉명동),충북 청주시 흥덕구 직지대로 393(송정동) 충북문화재연구원 옥상,127.4368501,36.64456429,정좌표,043,44,0101000020E610000047301F5AF5DB5F4017DC281581524240,95,0.112,0.02,0.4,0.002
252,충북,호암동,충북 충주시 호암동 562(충주시 청소년수련원 옥상)(중원대로 3324) 청소년수련원 옥상,127.9259816,36.96449447,정좌표,043,47,0101000020E6100000A82C544843FB5F4053E9068E747B4240,91,0.129,0.012,0.5,0.003
269,부산,명지동,부산광역시 강서구 명지동 3513-3 봄뜰공원 (명지동),128.9258823,35.10558708,정좌표,051,23,0101000020E610000040CEEAD3A01D604075BD9FE0838D4140,70,0.089,0.016,0.4,0.004
276,부산,전포동,부산광역시 부산진구 전포대로209번길 26 놀이마루 운동장 남편 (전포동),129.0630949,35.15629452,정좌표,051,28,0101000020E61000006C8198DF04226040D6F8757501944140,78,0.091,0.016,0.3,0.003
238,충북,영동읍,충청북도 영동군 영동읍 계산로2길 25 레인보우도서관 옥상,127.7777908,36.17275149,정좌표,043,27,0101000020E61000004D481053C7F15F4051F187B81C164240,55,0.093,0.009,0.3,0.002
317,대구,태전동,대구 북구 태전동 1076-5 (태암초등학교)(칠곡중앙대로 52길 56) 태암초등학교 남관 4층 옥상,128.5508201,35.92506393,인근좌표,053,29,0101000020E6100000586F7951A01160409507AF7E68F64140,64,0.098,0.017,0.5,0.003
240,충북,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명로 150 오송읍 사무소 별관 지상,127.3251295,36.63211687,정좌표,043,39,0101000020E6100000C05DF6EBCED45F402FF3A134E9504240,80,0.121,0.015,0.4,0.003
393,경남,함양읍,경상남도 함양군 함양읍 고운로 35 함양군청 민원봉사과 옥상,127.7245571,35.5202403,정좌표,055,13,0101000020E61000006A25BE245FEE5F40D647F13B97C24140,44,0.074,0.01,0.3,0.003
270,부산,부곡동,부산 금정구 부곡로156번길 7 부곡2동 주민센터 옥상 (부곡동),129.0926972,35.22983656,정좌표,051,28,0101000020E6100000C94D1E60F72260400550CE486B9D4140,60,0.093,0.017,0.4,0.003
